OK 122ms 90.156.218.126:2223
OK 6ms 167.68.4.199:2053 cached
OK 59ms 34.94.125.227:443 cached
OK 6ms 89.116.180.49:443 cached
OK 7ms 130.250.137.171:443 cached
OK 6ms 165.215.250.14:443 cached
OK 89ms 166.1.36.83:443 cached
OK 145ms 168.100.9.178:2053 cached
OK 91ms 185.220.100.168:443 cached
OK 109ms 185.255.179.166:443 cached
OK 88ms 191.96.94.226:443 cached
OK 6ms 198.62.62.23:443 cached
OK 6ms 216.24.57.1:443 cached
OK 7ms 216.24.57.7:443 cached
OK 6ms 45.80.111.7:443 cached
OK 87ms 45.87.41.18:443 cached
OK 89ms 5.181.187.58:443 cached
OK 9ms 8.6.112.6:443 cached
OK 6ms 86.38.214.205:443 cached
OK 93ms 88.99.189.60:443 cached
OK 90ms 89.150.34.41:2053 cached
OK 502ms tr-netherlands.unlimited-access.ru:443 cached
OK 241ms 86.38.247.109:2087 cached
OK 12ms 167.17.69.171:443 cached
OK 86ms 109.121.44.41:443
OK 68ms 31.58.50.200:8443 cached
OK 85ms 31.58.181.88:8443 cached
OK 102ms 144.31.135.38:9444 cached
OK 107ms 5.61.91.221:443 cached
OK 106ms 18.177.61.231:30203 cached
OK 174ms 31.76.88.10:8443 cached
OK 156ms 94.156.232.254:8443 cached
OK 165ms 151.241.129.98:7219
OK 81ms 147.182.156.111:8039 cached
OK 94ms 77.221.154.152:8444 cached
OK 6ms 8.47.69.6:443 cached
OK 157ms 91.149.253.249:443 cached
OK 166ms japan.com:443 cached
OK 209ms russia.com:443 cached
OK 96ms singapore.com:443 cached
OK 7ms 47.253.226.114:443 cached
OK 149ms 13.114.89.187:16611 cached
OK 93ms 167.233.219.201:443 cached
OK 117ms 85.17.145.65:12068 cached
OK 9ms 69.46.46.11:443 cached
OK 157ms 162.141.131.102:50159 cached
OK 172ms 144.31.183.177:443 cached
OK 187ms 217.11.164.92:37430 cached
OK 102ms 77.110.106.58:443 cached
OK 98ms 77.221.152.100:443 cached
OK 175ms 47.129.185.35:49805 cached
OK 6ms 185.207.197.12:80 cached
OK 58ms 216.167.21.32:40573
OK 6ms 188.164.248.81:2087 cached
OK 7ms 188.164.248.96:8443 cached
OK 6ms 8.39.125.213:443 cached
OK 118ms 178.72.147.246:2200 cached
OK 129ms 5.42.106.111:2200 cached
OK 100ms 151.242.2.81:443 cached
OK 143ms 151.242.2.81:8443 cached
OK 59ms 192.166.82.74:8443 cached
OK 22ms 206.245.132.50:8443 cached
OK 165ms 45.136.126.70:8443 cached
OK 149ms 31.76.64.248:443 cached
OK 174ms 47.129.144.8:39742 cached
OK 111ms 185.79.138.71:448 cached
OK 99ms 188.245.150.184:6806
OK 12ms 45.138.100.226:2083 cached
OK 634ms mci.v2plus.ovh:80 cached
OK 215ms 134.122.202.244:44915 cached
OK 481ms rus.noooo.win:8443 cached
OK 143ms 194.26.192.76:443 cached
OK 65ms 38.77.133.141:443 cached
OK 226ms 149.28.138.97:30680 cached
OK 144ms 217.60.23.218:443 cached
OK 175ms 47.129.204.35:58335 cached
