OK 408ms api.yandex-cloud.org:443
OK 400ms api.yandex-dev.com:443
OK 117ms 31.59.150.123:1337
OK 5ms 104.16.9.20:443 cached
OK 170ms 144.124.246.55:443 cached
OK 213ms upright-hamster.rooster465.autos:443 cached
OK 8ms 15.204.97.216:23576 cached
OK 94ms 144.124.248.186:443 cached
OK 151ms 151.80.147.30:443 cached
OK 5ms 162.159.38.119:443 cached
OK 6ms 45.130.125.207:443 cached
OK 6ms 89.116.250.135:443 cached
OK 68ms 45.206.5.122:443 cached
OK 350ms est.vrsvpn.com:443 cached
OK 168ms 3.114.220.22:10583 cached
OK 5ms 173.245.58.75:443 cached
OK 191ms 3.39.4.109:13672 cached
OK 5ms 45.130.125.21:443 cached
OK 5ms 45.130.125.217:443 cached
OK 82ms 31.56.146.93:8443 cached
OK 32ms ad-005.zen2bswa.info:8443 cached
OK 146ms 31.58.76.95:8443 cached
OK 277ms jdwadgw.cvewfjg.shop:443 cached
OK 5ms 104.17.111.8:443 cached
OK 248ms nl15.sodahub.online:443 cached
OK 5ms 104.26.14.137:443 cached
OK 176ms meow-warsaw.nethcloud.top:443 cached
OK 6ms 104.18.152.97:443 cached
OK 5ms 104.16.174.37:443 cached
OK 5ms 104.18.152.219:443 cached
OK 6ms 104.16.174.6:443 cached
OK 5ms 104.18.152.208:443 cached
OK 5ms 84.17.41.2:18000 cached
OK 181ms upward-hedgehog.rooster465.autos:443 cached
OK 5ms 141.193.27.16:2087 cached
OK 177ms game-firefly.rooster465.autos:443 cached
OK 158ms 51.91.158.180:443 cached
OK 145ms 89.39.70.233:443 cached
OK 429ms using.neobo-tooth.ru:2083 cached
OK 194ms powerful-squid.rooster465.autos:443 cached
OK 153ms grateful-bedbug.rooster465.autos:443 cached
OK 375ms www.ignitelimit.com:443 cached
OK 214ms renewed-phoenix.rooster465.autos:443 cached
OK 225ms ready-kangaroo.rooster465.autos:443 cached
OK 9ms 15.204.97.214:23576 cached
OK 81ms 15.204.97.195:23576 cached
OK 5ms 216.24.57.7:443 cached
OK 8ms 15.204.97.206:23576 cached
OK 81ms 15.204.97.197:23576 cached
OK 27ms support.zoom.us:443 cached
OK 23ms ad-020.limaklhc6.info:8443 cached
OK 104ms 31.56.188.87:443 cached
OK 456ms it-one.quiet-rogue.site:443 cached
OK 12ms 159.89.87.21:28190 cached
OK 65ms 47.253.226.114:443 cached
OK 147ms 217.60.23.230:443 cached
OK 33ms betty.ns.cloudflare.com:443 cached
OK 5ms 104.16.72.50:443 cached
OK 158ms 164.92.143.135:80 cached
OK 173ms big-bonefish.rooster465.autos:443 cached
OK 285ms concise-buck.rooster465.autos:443 cached
OK 5ms 108.162.192.75:443 cached
OK 5ms 8.47.69.0:443 cached
OK 5ms 104.16.72.101:443 cached
OK 167ms stirring-dane.rooster465.autos:443 cached
OK 234ms kind-unicorn.rooster465.autos:443 cached
OK 495ms more-trout.rooster465.autos:443 cached
OK 171ms selected-bison.rooster465.autos:443 cached
OK 95ms 2.26.82.237:443 cached
OK 41ms ad-004.zen2bswa.info:8443 cached
OK 546ms qq.utiltools.ru:443 cached
OK 204ms pro-crane.rooster465.autos:443 cached
OK 5ms 104.16.92.229:80 cached
OK 257ms present-warthog.rooster465.autos:443 cached
OK 224ms nl16.sodahub.online:443 cached
OK 183ms 45.196.201.46:443 cached
OK 150ms 45.192.2.115:443 cached
OK 7ms 47.89.186.170:55861 cached
OK 5ms 104.16.72.101:8443 cached
OK 152ms 45.88.172.154:11594 cached
OK 149ms 93.152.205.216:444 cached
OK 88ms 193.169.239.76:443 cached
OK 483ms definite-giraffe.rooster465.autos:443 cached
OK 221ms renewed-chigger.rooster465.autos:443 cached
OK 30ms 82.198.246.233:180 cached
OK 5ms 45.85.118.16:2087 cached
OK 147ms 149.202.58.99:443 cached
OK 6ms 104.24.237.67:443 cached
OK 359ms tw04.kinomir.fun:40443 cached
OK 423ms login.netraidly.ru:40443 cached
OK 130ms 195.254.165.243:443 cached
OK 5ms 104.17.148.22:443 cached
OK 6ms 172.66.45.6:443 cached
OK 135ms 78.159.250.214:443 cached
OK 112ms cf.levikogjgfdd.ir:443 cached
OK 146ms 194.55.189.249:40443 cached
OK 6ms 104.16.72.41:443 cached
OK 146ms 194.76.154.31:40443 cached
OK 5ms 104.17.108.103:443 cached
OK 5ms 104.19.149.174:443 cached
OK 148ms 31.77.131.97:8444 cached
OK 158ms 195.74.93.254:443 cached
OK 56ms cf.008500.xyz:443 cached
OK 161ms 51.195.116.82:443 cached
OK 578ms correct-pony.rooster465.autos:443 cached
OK 62ms 130.107.73.148:41373 cached
OK 159ms 95.181.167.171:9090
OK 753ms turkey-naran.fizikade.ir:5039 cached
OK 6ms 104.19.229.21:443 cached
OK 6ms 8.6.112.6:443 cached
OK 96ms 205.237.109.211:448 cached
OK 5ms 104.17.147.22:443 cached
OK 6ms 199.232.78.159:443 cached
OK 105ms 168.138.43.75:80 cached
OK 5ms 172.67.74.2:443 cached
OK 494ms gr148.bamajobin.ir:2053 cached
OK 160ms jush.sukario.ir:443 cached
OK 6ms 167.82.0.1:80 cached
OK 420ms love.ns.cloudflare.com:443 cached
OK 155ms 31.77.154.248:443 cached
OK 185ms 141.98.118.70:443 cached
OK 133ms one-for-all.levikogjgfdd.ir:443 cached
OK 153ms 159.195.46.178:443 cached
OK 160ms 5.75.196.139:5039 cached
OK 135ms push.sukario.ir:2087
OK 5ms 151.101.56.7:80 cached
OK 187ms 45.196.201.246:443 cached
OK 168ms 54.37.75.187:443 cached
OK 319ms no.sv.temas-bor.ir:22020 cached
OK 337ms pl.sv.temas-bor.ir:22021 cached
