OK 531ms argg2.auragg.org:443
OK 379ms argg9.auragg.org:443 cached
OK 508ms argg4.auragg.org:443
OK 544ms dataupdate.auragg.org:443 cached
OK 228ms argg5.auragg.org:443 cached
OK 191ms app-sync-data.auragg.org:443 cached
OK 389ms argg6.auragg.org:443
OK 99ms 23.254.226.60:19351 cached
OK 156ms 130.49.161.70:443 cached
OK 67ms 76.13.29.145:28168
OK 134ms 31.76.251.151:443 cached
OK 126ms 45.196.31.222:8443 cached
OK 110ms 62.210.124.146:22000 cached
OK 51ms 112.121.184.10:26057 cached
OK 125ms 5.255.102.165:443 cached
OK 62ms 64.186.224.186:443 cached
OK 2ms 140.248.185.252:443 cached
OK 113ms 78.17.3.113:443 cached
OK 2ms 199.232.2.79:443 cached
OK 117ms 45.86.159.136:2085 cached
OK 103ms 2.26.254.83:443 cached
OK 48ms 104.168.132.149:443 cached
OK 107ms 198.105.112.118:443 cached
OK 106ms 50.7.41.142:443 cached
OK 2ms 216.24.57.1:443 cached
OK 101ms 45.13.119.219:8888 cached
OK 114ms 93.127.160.203:610 cached
OK 105ms 45.192.2.173:443 cached
OK 156ms 46.4.230.210:443
OK 62ms 170.39.224.151:443
OK 48ms 185.106.96.231:443 cached
OK 131ms 45.195.111.83:443 cached
OK 111ms 138.124.52.85:443 cached
OK 108ms 185.5.75.151:8443 cached
OK 116ms 204.216.216.23:10086 cached
OK 170ms 185.155.97.58:45176
OK 135ms 109.120.132.142:40617 cached
OK 403ms 148.253.211.10:443 cached
OK 107ms 2.26.254.89:443 cached
OK 126ms 5.199.170.105:443 cached
OK 206ms 149.33.0.214:14302 cached
OK 182ms 193.233.174.195:27331 cached
OK 134ms 153.76.122.225:443 cached
OK 153ms 141.98.87.48:443
OK 151ms 107.161.174.99:443 cached
OK 56ms 172.247.109.66:443 cached
OK 104ms 51.255.71.16:443 cached
OK 123ms 31.76.94.214:443 cached
OK 166ms 103.106.228.187:54603 cached
OK 2ms 151.101.56.7:443 cached
OK 124ms 31.76.251.3:443 cached
OK 315ms hayabusa.proxy.rlwy.net:48106 cached
OK 82ms 20.0.105.19:443 cached
OK 188ms 103.83.87.133:443
OK 759ms 185.28.172.123:443 cached
OK 137ms www.multiplydose.com:443 cached
OK 2ms 167.82.101.252:443 cached
OK 172ms 157.85.230.247:64371 cached
OK 3ms 81.255.155.10:443 cached
OK 113ms 159.195.46.178:443 cached
OK 3ms 209.46.30.56:443 cached
OK 103ms 195.74.93.254:443 cached
OK 130ms 81.90.17.165:443 cached
OK 122ms 89.22.228.57:443 cached
OK 125ms 147.45.78.118:443 cached
OK 6ms 47.89.186.170:55861 cached
OK 151ms 103.83.87.111:443 cached
OK 144ms 104.194.146.86:443
OK 96ms 51.195.235.8:55025 cached
OK 229ms 67.159.52.159:443 cached
OK 98ms 45.86.159.142:2085 cached
OK 170ms 43.108.23.174:32521 cached
OK 216ms 45.196.193.116:8443 cached
OK 106ms 45.86.159.135:2085 cached
OK 3ms 114.129.43.130:443 cached
OK 105ms 51.158.206.25:23576 cached
OK 113ms 141.98.6.115:603 cached
OK 106ms 45.86.159.134:2085 cached
OK 2ms 199.232.237.250:443 cached
OK 59ms 47.253.226.114:443
OK 111ms 144.124.246.55:443 cached
OK 105ms 104.194.144.187:443 cached
OK 126ms 31.76.94.215:443 cached
OK 131ms 93.114.194.131:443 cached
OK 568ms gb.safepass.click:443 cached
OK 106ms 138.124.186.216:443 cached
OK 318ms de5.safepass.click:443 cached
OK 724ms s5.db-link.in:17820 cached
OK 184ms vruaz.mostserv.xyz:443 cached
OK 378ms nl5.safepass.click:443 cached
OK 139ms sw-1.bexum.fun:443 cached
OK 470ms nlety.ksnodes.net:443 cached
OK 52ms 93.179.99.130:777 cached
OK 52ms 95.169.27.126:19438 cached
OK 213ms 103.192.179.132:443 cached
OK 185ms 219.76.13.183:443 cached
OK 188ms 138.124.111.115:443 cached
OK 146ms 188.253.123.71:7228 cached
OK 185ms 211.229.78.252:10333 cached
OK 12ms 34.132.50.119:443 cached
OK 147ms 45.137.180.197:443 cached
OK 45ms 69.63.214.83:53132 cached
OK 187ms 58.152.13.239:443 cached
OK 70ms 91.196.33.109:443 cached
OK 2ms 104.129.164.201:8880 cached
OK 2ms 104.129.164.253:8880 cached
OK 4ms 104.129.166.253:8880 cached
OK 3ms 104.129.167.253:8880 cached
OK 3ms 104.234.239.201:8880 cached
OK 3ms 104.238.70.253:8880 cached
OK 3ms 104.238.71.253:8880 cached
OK 3ms 109.176.239.253:8880 cached
OK 104ms 138.124.32.78:443 cached
OK 3ms 14.102.228.253:8880 cached
OK 2ms 141.11.202.253:8880 cached
OK 3ms 154.197.64.253:8880 cached
OK 2ms 154.206.12.253:8880 cached
OK 2ms 154.211.8.253:8880 cached
OK 2ms 154.218.15.201:8880 cached
OK 2ms 155.46.213.253:8880 cached
OK 2ms 160.153.136.253:8880 cached
OK 3ms 162.120.94.201:8880 cached
OK 2ms 166.62.105.253:8880 cached
OK 2ms 166.62.109.253:8880 cached
OK 3ms 166.62.113.253:8880 cached
OK 2ms 166.62.114.253:8880 cached
OK 5ms 167.68.11.253:8880 cached
OK 3ms 167.68.5.253:8880 cached
OK 3ms 181.214.1.30:8880 cached
OK 3ms 185.133.35.253:8880 cached
OK 3ms 185.148.104.253:8880 cached
OK 3ms 185.148.106.253:8880 cached
OK 3ms 185.148.107.253:8880 cached
OK 3ms 185.149.135.253:8880 cached
